Field,Data,Confidence
PO NUMBER,DHL,94.0
TRACKING NUMBER,55888800000998700,91.0
ADDRESS,255 Commercial Street,94.66666666666667
ADDRESS,"25880 New York, US",88.5
PHONE NUMBER,(555) 1000 255 6678,95.5
WEBSITE,info@localstore.com,92.0
EORI,PT100003456566,91.0
PRODUCT,Conveyor Belt 25,64.0
PRODUCT,Country of origin: US,89.0
HS CODE,88565.2252,92.0
PRODUCT,Pole with bracket,96.0
PRODUCT,Country of origin: US,89.0
HS CODE,88565.2545,81.0
PRODUCT,Pole with bracket,96.0
PRODUCT,Country of origin: US.,70.5
HS CODE,88565.2545,81.0
PRODUCT,Pole with bracket,96.0
PRODUCT,Country of origin: US,89.0
HS CODE,88565.2545,81.0
PRODUCT,Pole with bracket,96.0
PRODUCT,Country of origin: US,89.0
HS CODE,88565.2545,81.0
INVOICE DATE,14/08/2023,96.0
INVOICE NUMBER,F1000876/23,87.0
ORDER ID,X001525,53.0
ADDRESS,"100 Mighty Bay

125863 Rome, IT",93.66666666666667
PHONE NUMBER,00 39 5658 444 52474,90.6
WEBSITE,info@localstore.com,92.0
SUBTOTAL,$485.00,95.0
SHIPPING,$100.00,96.0
INSURANCE,$0.00,92.0
SALES TAX,$117.00,96.0
TOTAL,$702.00,96.0
